extract1,extract2,extract3,extract4,extract5,extract6,pcrSV019,pcrSV020,pcrSV021,pcrTM018,pcrSV023,pcrSV016,prcSV017,pcrSV018,neg_water_Laelae,neg_water_BarangBaringan,neg_water_K.keke,neg_water_Samalona,neg_water_Langkadea,neg_water_Karanrang,neg_water_Langkai,neg_water_Badi,neg_water_Kapoposang,neg_water_Lumulumu,neg_water_Polewali,neg_water_Padjenekang,neg_aqua
,,,,,UPG-EG22-S090,UPG-EG22-S020,UPG-EG22-S020,UPG-EG22-S020,,UPG-EG22-W239,UPG-EG22-W334,UPG-EG22-W067,UPG-EG22-W153,UPG-EG22-W231,,UPG-EG22-W117,UPG-EG22-W039,UPG-EG22-W147,UPG-EG22-W180,UPG-EG22-W019,UPG-EG22-W078,UPG-EG22-W243,UPG-EG22-W276,UPG-EG22-W309,UPG-EG22-W348,UPG-EG22-W234
,,,,,UPG-EG22-S100,UPG-EG22-S021,UPG-EG22-S021,UPG-EG22-S021,,UPG-EG22-W242,UPG-EG22-W337,UPG-EG22-W070,UPG-EG22-W156,,,UPG-EG22-W118,UPG-EG22-W040,UPG-EG22-W148,UPG-EG22-W181,UPG-EG22-W016,UPG-EG22-W079,UPG-EG22-W244,UPG-EG22-W277,UPG-EG22-W310,UPG-EG22-W349,UPG-EG22-W205
,,,,,extract_neg6,UPG-EG22-S022,UPG-EG22-S022,UPG-EG22-S022,,UPG-EG22-W245,UPG-EG22-W340,UPG-EG22-W073,UPG-EG22-W159,,,UPG-EG22-W119,UPG-EG22-W041,UPG-EG22-W149,UPG-EG22-W182,UPG-EG22-W018,UPG-EG22-W080,UPG-EG22-W245,UPG-EG22-W278,UPG-EG22-W311,UPG-EG22-W350,UPG-EG22-W206
,,,,,,UPG-EG22-S023,UPG-EG22-S023,UPG-EG22-S023,,UPG-EG22-W248,UPG-EG22-W346,UPG-EG22-W076,UPG-EG22-W162,,,UPG-EG22-W120,UPG-EG22-W042,UPG-EG22-W150,UPG-EG22-W183,UPG-EG22-W024,UPG-EG22-W081,UPG-EG22-W246,UPG-EG22-W279,UPG-EG22-W312,UPG-EG22-W351,UPG-EG22-W207
,,,,,,UPG-EG22-S024,UPG-EG22-S024,UPG-EG22-S024,,UPG-EG22-W251,UPG-EG22-W349,UPG-EG22-W079,UPG-EG22-W165,,,UPG-EG22-W121,UPG-EG22-W043,UPG-EG22-W151,UPG-EG22-W184,UPG-EG22-W015,UPG-EG22-W082,UPG-EG22-W247,UPG-EG22-W280,,UPG-EG22-W352,UPG-EG22-W100
,,,,,,UPG-EG22-S025,UPG-EG22-S025,UPG-EG22-S025,,UPG-EG22-W254,UPG-EG22-W352,UPG-EG22-W082,UPG-EG22-W168,,,UPG-EG22-W122,UPG-EG22-W044,UPG-EG22-W152,UPG-EG22-W185,UPG-EG22-W020,UPG-EG22-W083,UPG-EG22-W248,UPG-EG22-W281,,UPG-EG22-W353,UPG-EG22-W101
,,,,,,UPG-EG22-S026,UPG-EG22-S026,UPG-EG22-S026,,UPG-EG22-W257,UPG-EG22-W355,UPG-EG22-W085,UPG-EG22-W171,,,UPG-EG22-W123,UPG-EG22-W045,UPG-EG22-W153,UPG-EG22-W186,UPG-EG22-W021,UPG-EG22-W084,UPG-EG22-W249,UPG-EG22-W282,,UPG-EG22-W354,UPG-EG22-W102
,,,,,,UPG-EG22-S027,UPG-EG22-S027,UPG-EG22-S027,,UPG-EG22-W260,UPG-EG22-W358,UPG-EG22-W088,UPG-EG22-W174,,,UPG-EG22-W124,UPG-EG22-W046,,,UPG-EG22-W017,UPG-EG22-W085,UPG-EG22-W250,UPG-EG22-W283,,UPG-EG22-W355,UPG-EG22-W325
,,,,,,UPG-EG22-S028,UPG-EG22-S028,UPG-EG22-S028,,UPG-EG22-W263,UPG-EG22-W361,UPG-EG22-W091,UPG-EG22-W177,,,UPG-EG22-W125,UPG-EG22-W047,,,UPG-EG22-W022,UPG-EG22-W086,UPG-EG22-W251,UPG-EG22-W284,,UPG-EG22-W356,UPG-EG22-W326
,,,,,,UPG-EG22-S029,UPG-EG22-S029,UPG-EG22-S029,,UPG-EG22-W266,UPG-EG22-W364,UPG-EG22-W094,UPG-EG22-W180,,,UPG-EG22-W126,UPG-EG22-W048,,,UPG-EG22-W023,UPG-EG22-W087,UPG-EG22-W252,UPG-EG22-W285,,UPG-EG22-W357,UPG-EG22-W327
,,,,,,UPG-EG22-S030,UPG-EG22-S030,UPG-EG22-S030,,UPG-EG22-W269,UPG-EG22-W002,UPG-EG22-W097,UPG-EG22-W183,,,UPG-EG22-W127,UPG-EG22-W049,,,UPG-EG22-W025,UPG-EG22-W088,UPG-EG22-W253,UPG-EG22-W286,,UPG-EG22-W358,UPG-EG22-W364
,,,,,,UPG-EG22-S031,UPG-EG22-S031,UPG-EG22-S031,,UPG-EG22-W272,UPG-EG22-W005,UPG-EG22-W100,UPG-EG22-W186,,,UPG-EG22-W128,UPG-EG22-W050,,,UPG-EG22-W026,UPG-EG22-W089,UPG-EG22-W254,UPG-EG22-W287,,UPG-EG22-W359,UPG-EG22-W365
,,,,,,UPG-EG22-S032,UPG-EG22-S032,UPG-EG22-S032,,UPG-EG22-W275,UPG-EG22-W008,UPG-EG22-W103,UPG-EG22-W189,,,UPG-EG22-W129,UPG-EG22-W051,,,UPG-EG22-W027,UPG-EG22-W090,UPG-EG22-W255,UPG-EG22-W288,,UPG-EG22-W360,UPG-EG22-W366
,,,,,,UPG-EG22-S033,UPG-EG22-S033,UPG-EG22-S033,,UPG-EG22-W278,UPG-EG22-W011,UPG-EG22-W106,UPG-EG22-W192,,,,,,,,UPG-EG22-W091,,UPG-EG22-W289,,UPG-EG22-W361,UPG-EG22-W328
,,,,,,UPG-EG22-S034,UPG-EG22-S034,UPG-EG22-S034,,UPG-EG22-W281,UPG-EG22-W014,UPG-EG22-W109,UPG-EG22-W195,,,,,,,,UPG-EG22-W092,,UPG-EG22-W290,,UPG-EG22-W362,UPG-EG22-W329
,,,,,,UPG-EG22-S035,UPG-EG22-S035,UPG-EG22-S035,,UPG-EG22-W284,UPG-EG22-W020,UPG-EG22-W112,UPG-EG22-W198,,,,,,,,UPG-EG22-W093,,UPG-EG22-W291,,UPG-EG22-W363,UPG-EG22-W330
,,,,,,UPG-EG22-S036,UPG-EG22-S036,UPG-EG22-S036,,UPG-EG22-W287,UPG-EG22-W026,UPG-EG22-W115,UPG-EG22-W201,,,,,,,,UPG-EG22-W094,,,,,UPG-EG22-W103
,,,,,,UPG-EG22-S037,UPG-EG22-S037,UPG-EG22-S037,,UPG-EG22-W290,UPG-EG22-W029,UPG-EG22-W118,UPG-EG22-W204,,,,,,,,UPG-EG22-W095,,,,,UPG-EG22-W104
,,,,,,UPG-EG22-S038,UPG-EG22-S038,UPG-EG22-S038,,UPG-EG22-W293,UPG-EG22-W032,UPG-EG22-W121,UPG-EG22-W207,,,,,,,,UPG-EG22-W096,,,,,UPG-EG22-W105
,,,,,,UPG-EG22-S039,UPG-EG22-S039,UPG-EG22-S039,,UPG-EG22-W296,UPG-EG22-W035,UPG-EG22-W124,UPG-EG22-W210,,,,,,,,UPG-EG22-W097,,,,,
,,,,,,UPG-EG22-S040,UPG-EG22-S040,UPG-EG22-S040,,UPG-EG22-W299,UPG-EG22-W038,UPG-EG22-W127,UPG-EG22-W213,,,,,,,,UPG-EG22-W098,,,,,
,,,,,,UPG-EG22-S041,UPG-EG22-S041,UPG-EG22-S041,,UPG-EG22-W302,UPG-EG22-W041,UPG-EG22-W130,UPG-EG22-W216,,,,,,,,UPG-EG22-W099,,,,,
,,,,,,UPG-EG22-S042,UPG-EG22-S042,UPG-EG22-S042,,UPG-EG22-W305,UPG-EG22-W044,UPG-EG22-W133,UPG-EG22-W219,,,,,,,,,,,,,
,,,,,,UPG-EG22-S043,UPG-EG22-S043,UPG-EG22-S043,,UPG-EG22-W308,UPG-EG22-W047,UPG-EG22-W136,UPG-EG22-W222,,,,,,,,,,,,,
,,,,,,UPG-EG22-S044,UPG-EG22-S044,UPG-EG22-S044,,UPG-EG22-W311,UPG-EG22-W050,UPG-EG22-W139,UPG-EG22-W225,,,,,,,,,,,,,
,,,,,,UPG-EG22-S045,UPG-EG22-S045,UPG-EG22-S045,,UPG-EG22-W314,UPG-EG22-W053,UPG-EG22-W142,UPG-EG22-W228,,,,,,,,,,,,,
,,,,,,UPG-EG22-S046,UPG-EG22-S046,UPG-EG22-S046,,UPG-EG22-W317,UPG-EG22-W056,UPG-EG22-W145,UPG-EG22-W231,,,,,,,,,,,,,
,,,,,,UPG-EG22-S047,UPG-EG22-S047,UPG-EG22-S047,,UPG-EG22-W320,UPG-EG22-W059,UPG-EG22-W148,UPG-EG22-W234,,,,,,,,,,,,,
,,,,,,UPG-EG22-S048,UPG-EG22-S048,UPG-EG22-S048,,UPG-EG22-W323,UPG-EG22-W062,UPG-EG22-W151,UPG-EG22-W240,,,,,,,,,,,,,
,,,,,,UPG-EG22-S049,UPG-EG22-S049,UPG-EG22-S049,,UPG-EG22-W326,UPG-EG22-W065,UPG-EG22-W154,UPG-EG22-W243,,,,,,,,,,,,,
,,,,,,UPG-EG22-S050,UPG-EG22-S050,UPG-EG22-S050,,UPG-EG22-W329,UPG-EG22-W068,UPG-EG22-W157,UPG-EG22-W246,,,,,,,,,,,,,
,,,,,,UPG-EG22-S051,UPG-EG22-S051,UPG-EG22-S051,,UPG-EG22-W335,UPG-EG22-W071,UPG-EG22-W160,UPG-EG22-W249,,,,,,,,,,,,,
,,,,,,UPG-EG22-S052,UPG-EG22-S052,UPG-EG22-S052,,UPG-EG22-W338,UPG-EG22-W074,UPG-EG22-W163,UPG-EG22-W252,,,,,,,,,,,,,
,,,,,,UPG-EG22-S053,UPG-EG22-S053,UPG-EG22-S053,,UPG-EG22-W341,UPG-EG22-W077,UPG-EG22-W166,UPG-EG22-W255,,,,,,,,,,,,,
,,,,,,UPG-EG22-S054,UPG-EG22-S054,UPG-EG22-S054,,UPG-EG22-W347,UPG-EG22-W080,UPG-EG22-W169,UPG-EG22-W258,,,,,,,,,,,,,
,,,,,,UPG-EG22-S055,UPG-EG22-S055,UPG-EG22-S055,,UPG-EG22-W350,UPG-EG22-W083,UPG-EG22-W172,UPG-EG22-W261,,,,,,,,,,,,,
,,,,,,UPG-EG22-S056,UPG-EG22-S056,UPG-EG22-S056,,UPG-EG22-W353,UPG-EG22-W086,UPG-EG22-W175,UPG-EG22-W264,,,,,,,,,,,,,
,,,,,,UPG-EG22-S057,UPG-EG22-S057,UPG-EG22-S057,,UPG-EG22-W356,UPG-EG22-W089,UPG-EG22-W178,UPG-EG22-W267,,,,,,,,,,,,,
,,,,,,UPG-EG22-S058,UPG-EG22-S058,UPG-EG22-S058,,UPG-EG22-W359,UPG-EG22-W092,UPG-EG22-W181,UPG-EG22-W270,,,,,,,,,,,,,
,,,,,,UPG-EG22-S059,UPG-EG22-S059,UPG-EG22-S059,,UPG-EG22-W362,UPG-EG22-W095,UPG-EG22-W184,UPG-EG22-W273,,,,,,,,,,,,,
,,,,,,UPG-EG22-S060,UPG-EG22-S060,UPG-EG22-S060,,UPG-EG22-W365,UPG-EG22-W098,UPG-EG22-W187,UPG-EG22-W276,,,,,,,,,,,,,
,,,,,,UPG-EG22-S061,UPG-EG22-S061,UPG-EG22-S061,,UPG-EG22-W003,UPG-EG22-W101,UPG-EG22-W190,UPG-EG22-W279,,,,,,,,,,,,,
,,,,,,UPG-EG22-S062,UPG-EG22-S062,UPG-EG22-S062,,UPG-EG22-W006,UPG-EG22-W104,UPG-EG22-W193,UPG-EG22-W282,,,,,,,,,,,,,
,,,,,,UPG-EG22-S063,UPG-EG22-S063,UPG-EG22-S063,,UPG-EG22-W009,UPG-EG22-W107,UPG-EG22-W196,UPG-EG22-W285,,,,,,,,,,,,,
,,,,,,UPG-EG22-S064,UPG-EG22-S064,UPG-EG22-S064,,UPG-EG22-W012,UPG-EG22-W110,UPG-EG22-W199,UPG-EG22-W288,,,,,,,,,,,,,
,,,,,,UPG-EG22-S065,UPG-EG22-S065,UPG-EG22-S065,,UPG-EG22-W021,UPG-EG22-W113,UPG-EG22-W202,UPG-EG22-W291,,,,,,,,,,,,,
,,,,,,UPG-EG22-S066,UPG-EG22-S066,UPG-EG22-S066,,UPG-EG22-W024,UPG-EG22-W116,UPG-EG22-W205,UPG-EG22-W294,,,,,,,,,,,,,
,,,,,,UPG-EG22-S067,UPG-EG22-S067,UPG-EG22-S067,,UPG-EG22-W027,UPG-EG22-W119,UPG-EG22-W208,UPG-EG22-W297,,,,,,,,,,,,,
,,,,,,UPG-EG22-S068,UPG-EG22-S068,UPG-EG22-S068,,UPG-EG22-W030,UPG-EG22-W122,UPG-EG22-W211,UPG-EG22-W300,,,,,,,,,,,,,
,,,,,,UPG-EG22-S069,UPG-EG22-S069,UPG-EG22-S069,,UPG-EG22-W033,UPG-EG22-W125,UPG-EG22-W214,UPG-EG22-W303,,,,,,,,,,,,,
,,,,,,UPG-EG22-S070,UPG-EG22-S070,UPG-EG22-S070,,UPG-EG22-W036,UPG-EG22-W128,UPG-EG22-W217,UPG-EG22-W306,,,,,,,,,,,,,
,,,,,,UPG-EG22-S071,UPG-EG22-S071,UPG-EG22-S071,,UPG-EG22-W039,UPG-EG22-W131,UPG-EG22-W220,UPG-EG22-W309,,,,,,,,,,,,,
,,,,,,UPG-EG22-S072,UPG-EG22-S072,UPG-EG22-S072,,UPG-EG22-W042,UPG-EG22-W134,UPG-EG22-W223,UPG-EG22-W312,,,,,,,,,,,,,
,,,,,,UPG-EG22-S073,UPG-EG22-S073,UPG-EG22-S073,,UPG-EG22-W045,UPG-EG22-W137,UPG-EG22-W226,UPG-EG22-W315,,,,,,,,,,,,,
,,,,,,UPG-EG22-S074,UPG-EG22-S074,UPG-EG22-S074,,UPG-EG22-W048,UPG-EG22-W140,UPG-EG22-W229,UPG-EG22-W318,,,,,,,,,,,,,
,,,,,,UPG-EG22-S075,UPG-EG22-S075,UPG-EG22-S075,,UPG-EG22-W051,UPG-EG22-W143,UPG-EG22-W232,UPG-EG22-W321,,,,,,,,,,,,,
,,,,,,UPG-EG22-S076,UPG-EG22-S076,UPG-EG22-S076,,UPG-EG22-W054,UPG-EG22-W146,UPG-EG22-W235,UPG-EG22-W324,,,,,,,,,,,,,
,,,,,,UPG-EG22-S077,UPG-EG22-S077,UPG-EG22-S077,,UPG-EG22-W057,UPG-EG22-W149,UPG-EG22-W241,UPG-EG22-W327,,,,,,,,,,,,,
,,,,,,UPG-EG22-S078,UPG-EG22-S078,UPG-EG22-S078,,UPG-EG22-W060,UPG-EG22-W152,UPG-EG22-W244,UPG-EG22-W330,,,,,,,,,,,,,
,,,,,,UPG-EG22-S079,UPG-EG22-S079,UPG-EG22-S079,,UPG-EG22-W063,UPG-EG22-W155,UPG-EG22-W247,UPG-EG22-W336,,,,,,,,,,,,,
,,,,,,UPG-EG22-S080,UPG-EG22-S080,UPG-EG22-S080,,UPG-EG22-W066,UPG-EG22-W158,UPG-EG22-W250,UPG-EG22-W339,,,,,,,,,,,,,
,,,,,,UPG-EG22-S081,UPG-EG22-S081,UPG-EG22-S081,,UPG-EG22-W069,UPG-EG22-W161,UPG-EG22-W253,UPG-EG22-W342,,,,,,,,,,,,,
,,,,,,UPG-EG22-S082,UPG-EG22-S082,UPG-EG22-S082,,UPG-EG22-W072,UPG-EG22-W164,UPG-EG22-W256,UPG-EG22-W345,,,,,,,,,,,,,
